	    ρ (kg/m^3)		H (J/kg)		        Cp (J/(K·kg))   K (W/(m·K))	    η (kg/(m·s))	    	σ (S/m)		
T (K)	0	    10% Cu	0	        10% Cu	    0	    10% Cu	0	    10% Cu	0	        10% Cu	    0	    1% Cu	10% Cu
300   	58.5	55.3	-8580000.	-8290000.	634.	629.	0.0106	0.0113	0.0000122	0.0000134	0	    0	    0
500	    35.1	33.1	-8430000.	-8140000.	858.	836.	0.0229	0.0231	0.0000197	0.0000208	0	    0	    0
1000	17.6	16.6	-7940000.	-7660000.	1040.	995.	0.0479	0.0461	0.0000341	0.0000348	0	    0	    0
1500	11.6	11.	    -7390000.	-7160000.	1310.	1080.	0.0947	0.0748	0.0000451	0.0000455	0	    0	    0
1800	8.07	8.08	-6660000.	-6550000.	3620.	3130.	0.54	0.556	0.0000535	0.0000526	0	    0	    0
2000	4.52	4.71	-4880000.	-4950000.	11300.	10200.	1.14	1.04	0.0000616	0.00006	    0	    0	    0
2200	2.74	2.96	-2620000.	-2980000.	8870.	7740.	0.398	0.362	0.0000656	0.0000643	0	    0	    0
2400	2.18	2.35	-1480000.	-1880000.	6030.	5940.	0.427	0.43	0.0000708	0.0000693	0	    0	    0
2600	1.66	1.77	253000.	    -203000.	9210.	8820.	0.51	0.499	0.0000825	0.0000807	0	    0	    0
2800	1.34	1.43	1750000.	1220000.	6580.	6310.	0.384	0.383	0.0000966	0.0000942	0	    0	    0
3000	1.16	1.23	2780000.	2250000.	5050.	5070.	0.44	0.45	0.000108	0.000105	0.00655	0.00657	0.00681
3200	1.01	1.06	3970000.	3450000.	6340.	6350.	0.607	0.61	0.000118	0.000116	0.0287	0.0288	0.0299
3400	0.873	0.918	5320000.	4770000.	6640.	6510.	0.61	0.602	0.000129	0.000127	0.098	0.0984	0.103
3600	0.778	0.816	6410000.	5840000.	5020.	4900.	0.505	0.498	0.000138	0.000136	0.276	0.278	0.296
3800	0.711	0.745	7200000.	6610000.	3610.	3560.	0.427	0.425	0.000146	0.000144	0.667	0.675	0.75
4000	0.656	0.686	7880000.	7310000.	2310.	2320.	0.353	0.356	0.000153	0.000151	1.43	1.46	1.75
5000	0.506	0.524	9550000.	9110000.	1300.	1430.	0.31	0.325	0.000181	0.000179	21.4	27.2	51.8
6000	0.419	0.432	10700000.	10300000.	1080.	1110.	0.341	0.36	0.000206	0.000205	145	    187.	356
7000	0.358	0.369	11800000.	11400000.	1090.	1120.	0.412	0.457	0.00023	    0.000229	535	    611.	1010
8000	0.313	0.322	12900000.	12600000.	1200.	1230.	0.53	0.599	0.000253	0.000251	1260	1340.	1860
9000	0.277	0.284	14200000.	13900000.	1420.	1440.	0.714	0.785	0.000275	0.000273	2260	2320.	2720
10000	0.247	0.253	15800000.	15500000.	1760.	1760.	0.97	1.02	0.000297	0.000294	3420	3460.	3710
12000	0.198	0.203	20200000.	19900000.	2720.	2710.	1.59	1.61	0.000339	0.000335	5630	5650.	5880
14000	0.162	0.166	26200000.	25800000.	3420.	3330.	2.17	2.19	0.000368	0.000363	7710	7730.	7890
16000	0.132	0.136	35300000.	34600000.	5970.	5740.	2.9	    2.9	    0.000333	0.00033	    9790	9800.	9900
18000	0.105	0.108	51500000.	50200000.	10000.	9710.	3.86	3.85	0.000221	0.00022	    12100	12200.	12200
20000	0.0821	0.0843	74800000.	72800000.	12700.	12300.	4.84	4.83	0.000124	0.000124	14500	14400.	14400
22000	0.0658	0.0676	99200000.	96500000.	11200.	11000.	5.67	5.52	0.0000733	0.0000728	17000	17000.	16300
24000	0.0556	0.0571	119000000.	116000000.	8430.	8250.	6.26	6.25	0.0000518	0.0000512	18500	18400.	18300
26000	0.0488	0.0502	134000000.	130000000.	6720.	6580.	6.96	6.94	0.0000431	0.0000424	19600	19600.	19400
28000	0.0439	0.0451	146000000.	142000000.	5890.	5760.	7.79	7.77	0.0000396	0.0000389	20500	20500.	20300
30000	0.04	0.041	158000000.	154000000.	5870.	5730.	8.73	8.71	0.0000385	0.0000377	21400	21400	21200
