Set,MAE,RMSE,R2,MaxAE,MeanRelError_pct
M1,0.547980837,0.630706868,-5.11751101,0.860243796,0.18881597
M2,0.946590267,1.234578344,0.908396306,2.342287733,0.333643316
M3,0.236524292,0.568240026,0.977888777,2.712206547,0.083329041
M4,0.302692724,0.52986488,0.982320288,1.999190368,0.106040817
M5,0.349084888,0.581157974,0.978731673,2.295840096,0.12238788
M6,0.213429906,0.332187641,0.993051167,0.993212918,0.07481113
M7,0.206230252,0.338955576,0.992765134,1.206961854,0.072089256
M8,0.176546608,0.256694534,0.995850668,0.783930168,0.061631761
,,,,,
Set,MAE,RMSE,R2,MaxAE,MeanRelError_pct
M1,0.548,0.6307,¡ª¡ª,0.8602,0.1888
M2,0.9466,1.2346,0.9084,2.3423,0.3336
M3,0.2365,0.5682,0.9779,2.7122,0.0833
M4,0.3027,0.5299,0.9823,1.9992,0.106
M5,0.3491,0.5812,0.9787,2.2958,0.1224
M6,0.2134,0.3322,0.9931,0.9932,0.0748
M7,0.2062,0.339,0.9928,1.207,0.0721
M8,0.1765,0.2567,0.9959,0.7839,0.0616
